pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
HD 23472 f,12.1621839,1.137,4684.0,0.0906,26.3,630.0,2.5773478619770427,3.3068867021909143,1.137,0.0,0
HD 235088 b,7.4341393,2.045,5037.0,0.072,70.0,805.0,2.132287671668883,4.2626798770413155,2.045,0.0,0
HD 25463 b,7.049144,2.62,6220.0,0.076,461.4,1290.0,2.0855657503727354,6.136430317358168,2.62,0.0,0
HD 25463 c,3.04405,1.5,6220.0,0.0435,1413.5,1707.0,1.397246665077835,7.254531390741622,1.5,0.0,0
HD 260655 b,2.76953,1.24,3803.0,0.02933,42.2,709.0,1.326950325253151,3.765840495250065,1.24,0.0,0
HD 260655 c,5.70588,1.533,3803.0,0.04749,16.1,557.0,1.9029847534610247,2.8390784635086144,1.533,0.0,0
HD 3167 b,0.959641,1.67,5261.0,0.01796,1650.0,1774.0,0.6727612932006802,7.409136443920128,1.67,0.0,0
HD 3167 c,29.8454,3.0,5261.0,0.1776,16.9,564.0,3.4289876306436544,2.884800712846709,3.0,0.0,0
HD 332231 b,18.71204,9.718203,6089.0,0.1436,98.09,876.0,2.9812296165698293,4.596028528070808,9.718203,0.0,0
HD 5278 b,14.339156,2.45,6203.0,0.1202,132.0,943.0,2.7304087748687644,4.890349128221754,2.45,0.0,0
HD 6061 b,5.254467,2.45,5920.0,0.059,339.1,1194.0,1.8332959284576047,5.82923969201315,2.45,0.0,0
HD 73583 b,6.3980661,2.84,4582.0,0.05995,46.2,742.7,2.001218628217603,3.8543938925915096,2.84,0.0,0
HD 73583 b,6.398042,2.79,4511.0,0.0604,43.3,714.0,2.001215370604204,3.7909846770510898,2.79,0.0,0
HD 73583 c,18.87974,2.39,4511.0,0.1242,10.2,498.0,2.9897011226720793,2.4159137783010487,2.39,0.0,0
HD 73583 c,18.8805,2.73,4582.0,0.1233,11.76,517.8,2.989739351817582,2.546315277916644,2.73,0.0,0
HD 80653 b,0.719573,1.613,5959.0,0.01661,6130.0,2463.0,0.5420760041908326,8.721113147762688,1.613,0.0,0
HD 93963 A b,1.0391353,1.35,5987.0,0.02085,2898.0,2042.0,0.712525845447743,7.972121128921655,1.35,0.0,0
HD 93963 A c,3.6451398,3.228,5987.0,0.04813,543.8,1344.0,1.5358214686912637,6.300418754835302,3.228,0.0,0
HD 95338 b,55.087,3.89,5212.0,0.262,7.42,385.0,4.026904056620066,2.130609828254235,3.89,0.0,0
HIP 116454 b,9.1004157,2.469,5048.0,0.0792,51.2858,753.2,2.312576581416071,3.9567248236889716,2.469,0.0,0
HIP 116454 b,9.0949,2.53,5089.0,0.07765,51.4,745.0,2.3120303458217304,3.9589065913269965,2.53,0.0,0
HIP 29442 c,3.53796,1.58,5289.0,0.0436,373.0,1217.0,1.5124775718630952,5.924255797414532,1.58,0.0,0
HIP 29442 c,3.5379559,1.551,5289.0,0.04518,451.0,1123.0,1.512476668373013,6.113682179832232,1.551,0.0,0
HIP 29442 d,6.42975,1.37,5289.0,0.0649,167.0,998.0,2.0054922107880775,5.123963979403259,1.37,0.0,0
HIP 29442 d,6.429575,1.538,5289.0,0.0673,203.0,920.0,2.0054686565552964,5.318119993844216,1.538,0.0,0
HIP 65 A b,0.9809734,22.75427,4590.0,0.01782,661.0,1411.0,0.6835883400644259,6.495265555937008,22.75427,0.0,0
HIP 8152 b,10.75101,2.56,5530.0,0.092,88.9,855.0,2.463939194342847,4.498697941477575,2.56,0.0,0
HIP 8152 c,19.6053,2.48,5530.0,0.138,39.9,699.0,3.02554832425771,3.711130063048756,2.48,0.0,0
HIP 9618 b,20.772907,3.9,5609.0,0.1438,40.3,663.4,3.0806663987158154,3.720862499966987,3.9,0.0,0
HIP 9618 b,20.77288,3.75,5550.0,0.144,36.8,685.0,3.080665158641776,3.632309102625542,3.75,0.0,0
HIP 9618 c,52.563491,3.343,5609.0,0.2669,11.7,486.9,3.980867697937135,2.5416019934645457,3.343,0.0,0
HIP 9618 c,52.5636,3.34,5550.0,0.268,10.7,503.0,3.980869732903248,2.4595888418037104,3.34,0.0,0
HR 858 b,3.58599,2.085,6201.0,0.048,989.7,1572.0,1.5230060038838367,6.898411763978984,2.085,0.0,0
HR 858 c,5.97293,1.939,6201.0,0.0674,512.0,1326.0,1.9420355094677053,6.240275845170769,1.939,0.0,0
HR 858 d,11.23,2.164,6201.0,0.1027,217.0,1075.0,2.503891949699081,5.384495062789089,2.164,0.0,0
K2-100 b,1.6739024,3.45,6120.0,0.0422,990.0,1094.0,0.9835389783875954,6.898714534329988,3.45,0.0,0
K2-100 b,1.6739035,3.88,5945.0,0.0301,1915.0,1841.0,0.9835393897712622,7.557994958530806,3.88,0.0,0
